StringLength	SmcRecog(ms)	FlexRecognizer(ms)	RegexRecognizer(ms)
333	0.502	0.004	0.109
833	0.005	0.004	0.113
1333	0.007	0.007	0.127
1833	0.009	0.009	0.136
2333	0.009	0.012	0.143
2833	0.011	0.014	0.188
3333	0.020	0.019	0.193
3833	0.015	0.021	0.231
4333	0.019	0.026	0.199
4833	0.018	0.024	0.224
5333	0.020	0.028	0.238
5833	0.022	0.029	0.240
6333	0.027	0.033	0.235
6833	0.023	0.033	0.235
7333	0.027	0.035	0.350
7833	0.029	0.041	0.335
8333	0.028	0.041	0.276
8833	0.032	0.041	0.412
9333	0.033	0.050	0.315
9833	0.033	0.047	0.307
10333	0.046	0.072	0.397
10833	0.037	0.053	0.342
11333	0.038	0.055	0.506
11833	0.042	0.059	0.389
12333	0.041	0.062	0.479
12833	0.043	0.062	0.397
13333	0.044	0.064	0.616
13833	0.046	0.071	0.439
14333	0.046	0.095	0.626
14833	0.048	0.073	0.802
15333	0.056	0.077	0.485
15833	0.054	0.086	0.736
16333	0.053	0.081	0.682
16833	0.058	0.083	0.575
17333	0.064	0.092	0.672
17833	0.059	0.078	0.816
18333	0.060	0.085	0.734
18833	0.069	0.088	0.684
19333	0.071	0.090	0.682
19833	0.065	0.095	0.759
20333	0.068	0.109	0.786
